flight_idx,gate,delay_probability
0,29,0.45843366
1,47,0.33408132
2,57,0.27632505
3,76,0.22866897
4,63,0.25607926
5,64,0.26299864
6,41,0.32259133
7,37,0.3488209
8,45,0.3830977
9,42,0.4165558
10,67,0.12619352
11,72,0.2621865
12,68,0.12401653
13,10,0.46915776
14,46,0.31817472
15,43,0.2184013
16,64,0.17293555
17,83,0.11398628
18,46,0.39125583
19,82,0.12523787
20,33,0.3319075
21,27,0.31766993
22,29,0.38662174
23,48,0.2693444
24,73,0.18342996
25,6,0.24139655
26,43,0.2990088
27,17,0.22639295
28,0,0.3949807
29,13,0.25159082
30,16,0.25159082
31,20,0.2907836
32,10,0.3374828
33,17,0.510224
34,12,0.31184638
35,5,0.35442537
36,12,0.48303276
37,41,0.32122898
38,14,0.479772
39,44,0.26483396
40,55,0.31508127
41,44,0.28739238
42,68,0.1951861
43,51,0.22964136
44,67,0.21380039
45,70,0.25289026
46,54,0.26978338
47,44,0.3217118
48,42,0.33125496
49,37,0.2572363
50,35,0.3154255
51,48,0.39373627
52,25,0.3909603
53,48,0.2820186
54,24,0.2572363
55,26,0.35846925
56,86,0.09555268
57,71,0.23595755
58,6,0.27766764
59,34,0.26078346
60,43,0.40222117
61,38,0.24516441
62,47,0.3576833
63,52,0.27653435
64,59,0.23902759
65,70,0.23902759
66,39,0.34892333
67,40,0.24234693
68,36,0.34892333
69,40,0.4035547
70,30,0.35501552
71,28,0.39765942
72,23,0.43706354
73,17,0.29069915
74,11,0.3954057
75,8,0.2753283
76,28,0.28789982
77,20,0.3954057
78,37,0.4340515
79,32,0.33434924
80,43,0.3194007
81,32,0.45011055
82,29,0.26892638
83,23,0.37375826
84,53,0.3996719
85,17,0.30935368
86,0,0.34903145
87,14,0.26179415
88,14,0.27398124
89,29,0.3372903
90,38,0.40615112
91,21,0.31771603
92,18,0.29089338
93,1,0.42727056
94,22,0.3561931
95,16,0.41619956
96,26,0.28147593
97,60,0.31369066
98,8,0.29238856
99,45,0.3351865
100,69,0.28768614
101,1,0.6637417
102,18,0.3392404
103,8,0.36855167
104,75,0.120855235
105,41,0.23523995
106,40,0.37586096
107,23,0.29343712
108,10,0.43190262
109,62,0.27297553
110,13,0.29422894
111,22,0.43283918
112,44,0.32500908
113,42,0.28978598
114,9,0.29936564
115,10,0.39509827
116,36,0.43944773
117,3,0.40675753
118,18,0.47428098
119,12,0.4303743
120,13,0.4841546
121,13,0.5092232
122,5,0.35130388
123,6,0.39067307
124,19,0.4153185
125,24,0.4774558
126,51,0.2713691
127,3,0.35835966
128,8,0.33691037
129,4,0.40997902
130,16,0.43108177
131,2,0.45494366
132,22,0.4672005
133,34,0.3266731
134,56,0.37488034
135,31,0.35297045
136,33,0.40587655
137,22,0.27256098
138,1,0.33685428
139,31,0.38652036
140,11,0.41379312
141,20,0.44764784
142,6,0.39367914
143,27,0.31423923
144,15,0.3898504
145,11,0.3111739
146,14,0.38831514
147,5,0.51178867
148,34,0.40281194
149,24,0.30119255
150,73,0.26129985
151,30,0.25363714
152,37,0.31423923
153,57,0.3898504
154,32,0.26452976
155,38,0.32656258
156,39,0.41775954
157,38,0.35458842
158,3,0.39088866
159,61,0.36224046
160,65,0.14062087
161,30,0.28438964
162,32,0.3746196
163,19,0.28854802
164,20,0.41713715
165,42,0.22053398
166,58,0.30991164
167,16,0.36520207
168,25,0.43485838
169,31,0.4514403
170,49,0.30488414
171,1,0.30892742
172,7,0.4413145
173,49,0.33977503
174,41,0.40468153
175,53,0.27485585
176,11,0.46564376
177,14,0.49185807
178,65,0.33266106
179,21,0.4437952
180,31,0.24967626
181,21,0.31890863
182,25,0.36245713
183,27,0.4133009
184,25,0.24470977
185,26,0.38871816
186,47,0.36267158
187,9,0.32547343
188,16,0.3958615
189,19,0.3598307
190,7,0.47176468
191,7,0.3938779
192,12,0.50571436
193,50,0.28854406
194,64,0.3317881
195,46,0.27631584
196,36,0.34948066
197,35,0.44198936
198,39,0.3374545
199,1,0.42888027
200,88,0.08916369
201,15,0.36226344
202,24,0.42341822
203,51,0.26444548
204,52,0.34437814
205,69,0.23944683
206,71,0.24941297
207,58,0.23159952
208,60,0.2883181
209,46,0.18901847
210,66,0.3152377
211,87,0.09404912
212,56,0.25649738
213,63,0.28397492
214,75,0.25649738
215,48,0.17610002
216,61,0.2323715
217,53,0.26928127
218,54,0.31561542
219,61,0.20293307
220,59,0.22775133
221,62,0.22434741
222,65,0.21826886
223,58,0.30220947
224,2,0.47831416
225,4,0.57805663
226,0,0.65716445
227,5,0.61919296
228,2,0.6237105
229,9,0.65968513
230,1,0.7060798
231,0,0.78673816
232,12,0.26750854
233,11,0.42886838
234,9,0.51428694
235,0,0.4330437
236,7,0.40394998
237,3,0.54374677
238,7,0.48414958
239,6,0.5809279
240,2,0.52175945
241,10,0.4036359
242,2,0.55905724
243,4,0.5787642
244,6,0.31405547
245,28,0.37883306
246,3,0.3699857
247,15,0.4364979
248,5,0.5024637
249,4,0.5008135
250,74,0.23436652
251,8,0.43992403
252,0,0.45576498
253,18,0.4890127
254,17,0.48123223
255,19,0.4890127
256,27,0.3699909
257,15,0.36047316
258,76,0.14864655
259,21,0.40827686
260,30,0.32598332
261,79,0.20154124
262,33,0.26381624
263,36,0.23810768
264,35,0.36544463
265,33,0.41616836
266,35,0.2595108
267,3,0.45326814
268,21,0.20882086
269,8,0.40461338
270,23,0.11522504
271,27,0.11782658
272,22,0.14911883
273,50,0.2989011
274,26,0.33547866
275,62,0.2858688
276,24,0.1479914
277,54,0.31268147
278,15,0.3439984
279,60,0.23159823
280,55,0.34964368
281,20,0.17859574
282,4,0.404887
283,56,0.25035745
284,34,0.39566764
285,68,0.26000088
286,45,0.18873186
287,63,0.22967605
288,40,0.2803719
289,80,0.19694003
290,49,0.4114893
291,18,0.22445962
292,19,0.21572757
293,23,0.41572884
294,45,0.26878196
295,25,0.14864448
296,50,0.40288392
297,26,0.20402823
298,52,0.3343448
299,55,0.2321023
300,28,0.4546388
301,66,0.24667281
302,85,0.09811415
303,78,0.20227647
304,59,0.37431657
305,39,0.19963558
306,30,0.22923397
307,67,0.31411374
308,77,0.20309049
309,13,0.3717498
310,81,0.17388847
311,57,0.21037367
312,74,0.15645812
313,47,0.109140106
314,72,0.21938889
315,84,0.11209158
316,66,0.11067292
317,9,0.27231064
318,51,0.19293492
